   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 827,          1225,             400,           1254,      4083,           0,       1753
 828,          1228,             402,              0,      4097,           0,       1005
 829,          1230,             403,           1003,      4099,           0,       2008
 830,          1231,             403,            505,      4114,           0,       1004
 831,          1232,             403,              0,      4121,           0,       1997
 832,          1233,             403,              0,      4114,           0,       2507
 833,          1234,             403,              0,      4119,           0,       2004
 834,          1235,             403,              0,      4120,           0,       1000
 835,          1236,             403,            998,      4123,           0,       2000
 836,          1240,             406,              0,      4138,           0,       2507
 837,          1241,             406,              0,      4142,           0,       2002
 838,          1242,             406,           1001,      4135,           0,        998
 839,          1243,             406,              0,      4135,           0,       1983
 840,          1244,             406,           1000,      4155,           0,       1504
 841,          1245,             406,           1004,      4159,           0,       1003
 842,          1246,             406,              0,      4162,           0,       2001
 843,          1247,             406,              0,      4176,           0,        998
 844,          1248,             406,           1002,      4185,           0,       1503
 845,          1249,             406,           1004,      4186,           0,       2003
 846,          1250,             406,              0,      4200,           0,        999
 847,          1251,             406,           1000,      4213,           0,       2000
 848,          1252,             406,              0,      4194,           0,       1502
 849,          1253,             406,              0,      4196,           0,       1003
 850,          1255,             407,            999,      4206,           0,       2000
 851,          1256,             407,              0,      4213,           0,       1999
 852,          1257,             407,            999,      4219,           0,       1503
 853,          1259,             408,           1004,      4231,           0,       2002
 854,          1260,             408,              0,      4231,           0,       2000
 855,          1261,             408,           1000,      4238,           0,       1999
 856,          1262,             408,              0,      4246,           0,       1999
 857,          1264,             409,              0,      4253,           0,       2005
 858,          1266,             410,            998,      4260,           0,        999
 859,          1268,             411,              0,      4267,           0,       2001
 860,          1270,             412,            999,      4265,           0,       1504
 861,          1271,             412,           1004,      4261,           0,       2003
 862,          1272,             412,              0,      4279,           0,       2000
 863,          1273,             412,            998,      4291,           0,       1999
 864,          1274,             412,              0,      4304,           0,       2504
 865,          1276,             413,              0,      4310,           0,       2004
 866,          1278,             414,            998,      4316,           0,       1999
 867,          1282,             417,              0,      4319,           0,       2002
 868,          1283,             417,            998,      4323,           0,       1502
 869,          1284,             417,           1004,      4319,           0,       2004
 870,          1285,             417,              0,      4339,           0,        999
 871,          1286,             417,           1000,      4328,           0,       2000
 872,          1288,             418,              0,      4355,           0,       1503
 873,          1289,             418,              0,      4356,           0,       2002
 874,          1290,             418,           1000,      4353,           0,       1001
 875,          1291,             418,              0,      4366,           0,       1985
 876,          1292,             418,            999,      4382,           0,       1503
 877,          1294,             419,           1003,      4386,           0,       2001
 878,          1296,             420,              0,      4377,           0,       1998
 879,          1297,             420,           1000,      4379,           0,       1999
 880,          1298,             420,              0,      4402,           0,       2506
 881,          1300,             421,           1003,      4405,           0,       1000
 882,          1301,             421,              0,      4422,           0,       2000
 883,          1302,             421,            999,      4425,           0,       2000
 884,          1303,             421,              0,      4418,           0,       2506
 885,          1305,             422,              0,      4417,           0,       1999
 886,          1306,             422,           1000,      4435,           0,       2000
 887,          1307,             422,              0,      4442,           0,        998
 888,          1308,             422,           1502,      4442,           0,       2006
 889,          1309,             422,           1000,      4454,           0,       2000
 890,          1310,             422,              0,      4453,           0,       2000
 891,          1311,             422,            998,      4468,           0,       2000
 892,          1312,             422,            503,      4474,           0,       2003
 893,          1313,             422,           1001,      4478,           0,        998
 894,          1315,             423,              0,      4489,           0,       2001
 895,          1317,             424,            998,      4500,           0,       1505
 896,          1320,             426,           1004,      4495,           0,       2003
 897,          1321,             426,              0,      4501,           0,        999
 898,          1322,             426,              0,      4516,           0,       2000
 899,          1324,             427,              0,      4524,           0,       2507
 900,          1325,             427,           1006,      4509,           0,       1997
 901,          1326,             427,              0,      4518,           0,        999
 902,          1327,             427,              0,      4514,           0,       2009
 903,          1329,             428,            989,      4519,           0,       1507
 904,          1330,             428,           1003,      4555,           0,       2001
 905,          1331,             428,              0,      4558,           0,       1001
 906,          1332,             428,              0,      4572,           0,       2503
 907,          1333,             428,              0,      4566,           0,       2009
 908,          1334,             428,           1000,      4558,           0,       1998
 909,          1337,             430,              0,      4557,           0,        999
 910,          1341,             433,              0,      4555,           0,       2501
 911,          1342,             433,              0,      4571,           0,       2008
 912,          1343,             433,            998,      4585,           0,       1999
 913,          1345,             434,           1000,      4587,           0,       2000
 914,          1346,             434,              0,      4583,           0,       2508
 915,          1347,             434,              0,      4600,           0,        999
 916,          1348,             434,              0,      4597,           0,       2001
 917,          1349,             434,            999,      4604,           0,       1999
 918,          1350,             434,              0,      4604,           0,       1507
 919,          1352,             435,           1004,      4623,           0,       1999
 920,          1353,             435,              0,      4621,           0,       1000
 921,          1354,             435,              0,      4624,           0,       2503
 922,          1356,             436,              0,      4631,           0,       2008
 923,          1357,             436,           1001,      4643,           0,       1998
 924,          1358,             436,           1000,      4657,           0,       1999
 925,          1359,             436,              0,      4658,           0,       1502
 926,          1361,             437,              0,      4659,           0,       1003
 927,          1362,             437,              0,      4663,           0,       2001
 928,          1363,             437,            999,      4697,           0,       1998
 929,          1364,             437,              0,      4701,           0,       2507
 930,          1367,             439,           1003,      4686,           0,       1999
 931,          1371,             442,              0,      4704,           0,       1000
 932,          1372,             442,              0,      4703,           0,       1998
 933,          1373,             442,            998,      4706,           0,       1004
 934,          1375,             443,              0,      4713,           0,       1999
 935,          1376,             443,            998,      4727,           0,       1999
 936,          1377,             443,           1001,      4736,           0,       1503
 937,          1378,             443,           1004,      4738,           0,       2003
 938,          1379,             443,              0,      4750,           0,       2001
 939,          1380,             443,              0,      4746,           0,       1998
 940,          1382,             444,            999,      4758,           0,       2509
 941,          1385,             446,              0,      4758,           0,       2003
 942,          1388,             448,            999,      4779,           0,       2001
 943,          1389,             448,            999,      4778,           0,        998
 944,          1390,             448,           1503,      4787,           0,       2007
 945,          1392,             449,           1003,      4792,           0,       1997
 946,          1393,             449,            998,      4806,           0,       2000
 947,          1394,             449,              0,      4814,           0,       2503
 948,          1396,             450,           1003,      4792,           0,       2004
 949,          1398,             451,              0,      4794,           0,       1000
 950,          1399,             451,              0,      4814,           0,       1999
 951,          1400,             451,              0,      4833,           0,       1004
 952,          1401,             451,              0,      4828,           0,       1998
 953,          1402,             451,            999,      4829,           0,       2001
 954,          1403,             451,            998,      4856,           0,       2000
 955,          1404,             451,              0,      4850,           0,       2004
 956,          1406,             452,              0,      4856,           0,       1000
 957,          1407,             452,              0,      4868,           0,       1998
 958,          1409,             453,              0,      4877,           0,       2007
 959,          1410,             453,              0,      4892,           0,       2000
 960,          1411,             453,              0,      4885,           0,       1999
 961,          1412,             453,            998,      4891,           0,       1999
 962,          1413,             453,              0,      4911,           0,       2007
 963,          1414,             453,              0,      4917,           0,       1998
 964,          1415,             453,           1001,      4918,           0,       1999
 965,          1416,             453,              0,      4918,           0,       2508
 966,          1417,             453,              0,      4927,           0,       2002
 967,          1418,             453,            998,      4937,           0,       1998
 968,          1420,             454,            999,      4940,           0,       2001
 969,          1422,             455,            503,      4945,           0,       2007
 970,          1424,             456,            999,      4942,           0,       2002
 971,          1425,             456,            999,      4958,           0,       1999
 972,          1426,             456,              0,      4962,           0,       2507
 973,          1428,             457,           1003,      4968,           0,       2000
 974,          1429,             457,            999,      4969,           0,       1999
 975,          1431,             458,           1001,      4993,           0,       1999
 976,          1432,             458,            503,      4969,           0,       2008
 977,          1433,             458,           1001,      4972,           0,       1998
