   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time,,,,,,,,,,<RANDOM,,,,,,,,,,,,   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
115,3513,3402,2503,656,0,0,,,,,,,,,,,,,,,,,,,,,,115,173,60,0,400,0,0
116,3566,3454,2007,657,0,0,,,,,,,,,,,,,,,,,,,,,,116,174,60,0,421,0,0
117,3671,3558,2999,664,0,0,,,,,,,,,,,,,,,,,,,,,,117,175,60,0,420,0,0
118,3686,3572,2000,671,0,0,,,,,,,,,,,,,,,,,,,,,,118,176,60,0,422,0,0
119,3738,3623,1999,684,0,999,,,,,,,,,,,,,,,,,,,,,,119,179,62,0,425,0,999
120,3833,3717,1506,686,0,1003,,,,,,,,,,,,,,,,,,,,,,120,180,62,0,437,0,0
121,3883,3766,1999,693,0,0,,,,,,,,,,,,,,,,,,,,,,121,181,62,0,438,0,0
122,3908,3790,3000,697,0,0,,,,,,,,,,,,,,,,,,,,,,122,182,62,0,442,0,0
123,3915,3796,2502,708,0,0,,,,,,,,,,,,,,,,,,,,,,123,183,62,0,447,0,0
124,4000,3880,2007,713,0,0,,,,,,,,,,,,,,,,,,,,,,124,184,62,0,455,0,0
125,4078,3957,2998,720,0,0,,,,,,,,,,,,,,,,,,,,,,125,185,62,0,457,0,0
126,4130,4008,2000,729,0,0,,,,,,,,,,,,,,,,,,,,,,126,186,62,0,464,0,0
127,4193,4070,2505,734,0,0,,,,,,,,,,,,,,,,,,,,,,127,187,62,0,470,0,1004
128,4307,4183,3006,742,0,0,,,,,,,,,,,,,,,,,,,,,,128,188,62,0,477,0,0
129,4385,4260,3001,750,0,0,,,,,,,,,,,,,,,,,,,,,,129,191,64,0,479,0,0
130,4498,4372,1999,752,0,0,,,,,,,,,,,,,,,,,,,,,,130,192,64,0,478,0,1003
131,4617,4490,3510,759,0,0,,,,,,,,,,,,,,,,,,,,,,131,193,64,0,483,0,0
132,4729,4601,2999,764,0,0,,,,,,,,,,,,,,,,,,,,,,132,194,64,0,485,0,0
133,4836,4707,3000,774,0,0,,,,,,,,,,,,,,,,,,,,,,133,196,65,0,489,0,999
134,4861,4731,2506,778,0,0,,,,,,,,,,,,,,,,,,,,,,134,197,65,0,494,0,0
